Customer ID,Age,Gender,Location, Income ,Marital Status,Purchase Frequency (Past 6 Months), Average Order Value ,Preferred Product Categories,Last Purchase Date,Return Rate, Customer Lifetime Value (CLV) , Average Star Rating ,NPS Score
C000019,44,Male, Memphis,"$230,000",Single,2,129000,Locket,21-07-23,0,1032000,5.4,59.88
C000080,30,Male, Detroit,"$100,000",Single,1,82000,Necklace,09-09-23,0,410000,6.4,70.25
C000350,31,Female, St Louis,"$280,000",Married,5,112000,Bracelet,21-06-23,0,2240000,3.4,41.15
C000382,29,Female, Jacksonville,"$160,000",Married,3,46000,Pendant,31-08-23,0.09,276000,7.7,80.76
C000418,21,Male, Nashville,"$160,000",Single,1,6000,Pendant,29-05-23,0,6000,5.7,65.34
C000499,35,Male, Virginia Beach,"$80,000",Married,1,20000,Locket,05-12-23,0,100000,5.5,63.78
C000514,28,Female, Long Beach,"$240,000",Married,2,125000,Bracelet,22-05-23,0,1000000,4.9,56.05
C000535,49,Female, Los Angeles,"$200,000",Married,3,44000,Locket,28-04-23,0.03,264000,5.2,60.49
C000538,44,Male, Austin,"$270,000",Married,3,157000,Pendant,19-06-23,0,2355000,4.4,48.31
C000800,30,Male, Memphis,"$90,000",Married,2,1126,Ring,07-09-23,0,11260,5.6,64.77
C000805,33,Female, Norfolk,"$290,000",Single,7,163000,Pendant,14-11-23,0,4564000,3,31.3
C000972,31,Male, Las Vegas,"$50,000",Single,1,19000,Armlet,22-06-23,0,57000,5.9,66.65
C001056,34,Female, Portland,"$160,000",Married,2,51000,Bracelet,27-05-23,0,102000,5.1,60.55
C001342,19,Male, Mesa,"$90,000",Married,2,3327,Necklace,20-11-23,0,13308,6.7,73.68
C001408,34,Female, Riverside,"$220,000",Single,5,102000,Jewel,04-11-23,0,2040000,2.9,37.51
C001467,19,Male, Fort Worth,"$220,000",Single,2,211000,Necklace,29-04-23,0.02,2110000,4.9,53.47
C001486,36,Female, Miami,"$220,000",Married,3,160000,Earrings,15-07-23,0,480000,4.6,55.33
C001532,49,Male, Omaha,"$100,000",Single,1,69000,Ring,11-04-23,0,138000,6.9,74.91
C001605,58,Male, Houston,"$160,000",Single,1,5000,Necklace,19-11-23,0,20000,7.1,76.95
C001855,42,Male, Nashville,"$210,000",Single,4,125000,Ring,04-10-23,0,1000000,3.3,43.87
C001870,34,Male, Denver,"$290,000",Single,2,3479,Bracelet,26-07-23,0,13916,5.7,65.85
C001882,21,Male, Greensboro,"$160,000",Married,1,86000,Armlet,21-06-23,0,258000,5.8,65.29
C001883,57,Female, Long Beach,"$290,000",Married,7,48000,Earrings,29-04-23,0,672000,2.5,37.85
C001886,50,Female, Fort Worth,"$300,000",Married,7,13000,Necklace,20-07-23,0,91000,3.5,47.65
C002223,36,Male, New York,"$110,000",Married,2,61000,Pendant,15-08-23,0,366000,5.7,64.93
C002281,51,Female, Portland,"$250,000",Single,3,129000,Pendant,29-07-23,0,1548000,4.8,54.21
C002398,48,Male, Newark,"$190,000",Married,4,118000,Jewel,16-04-23,0,944000,3.4,44.73
C002801,27,Female, Chicago,"$180,000",Married,3,146000,Jewel,03-12-23,0,2190000,3.6,42.52
C003031,42,Male, Raleigh,"$50,000",Single,1,4000,Earrings,28-05-23,0,4000,5.7,65.3
C003070,57,Male, Detroit,"$300,000",Single,6,269000,Pendant,24-05-23,0,1614000,1.4,26.33
C003165,40,Female, Seattle,"$270,000",Married,5,127000,Earrings,10-11-23,0,3175000,4.3,45.15
C003220,24,Female, Wichita,"$100,000",Single,1,17000,Earrings,10-12-23,0,34000,6.8,74.23
C003353,40,Female, Greensboro,"$250,000",Single,4,96000,Armlet,13-03-23,0,768000,3.3,43.91
C003439,49,Male, Atlanta,"$200,000",Married,5,149000,Necklace,20-03-23,0.09,745000,4.7,55.21
C003539,24,Male, Boston,"$110,000",Single,2,50000,Jewel,12-08-23,0.01,200000,7,75.34
C003888,54,Male, Seattle,"$50,000",Married,1,8000,Armlet,30-06-23,0,32000,5.9,67.38
